VK;Wort;Prozent;Worteinordnung;filtername;kommt von…;Anmerkung;Sprache;schon bearbeitet
1012;FüR;24.86 %;;;;unwichtig;;x
1007;W;24.74 %;initialkurzwort;flüstern;whisper;filter1;e;x
936;ME;23%;entlehnung;;mich;;e;x
736;RBG;18.08 %;initialkurzwort;ratedbgs;;filter1;e;x
586;UND;14.4 %;;;;unwichtig;;x
576;LFM;14.15 %;initialkurzwort;suche;looking for;filter1;e;x
460;LF;11.3 %;initialkurzwort;suche;looking for;filter1;e;x
458;MIT;11.25 %;;;;unwichtig;;x
457;SUCHE;11.23 %;;suche;looking for;filter1;;x
451;SUCHT;11.08 %;;suche;looking for;filter1;;x
410;AB;10.07 %;initialkurzwort;;arathibecken;;e;x
400;LR;9.83 %;initialkurzwort;liverating;liverating;;e;x
301;HEAL;7.4 %;entlehnung;heilung;;filter1;e;x
292;XP;7.17 %;initialkurzwort;erfahrung;experience;filter1;e;x
283;VK;6.95 %;initialkurzwort;verkaufe;;filter1;;x
238;DER;5.85 %;;;;unwichtig;;x
234;LFG;5.75 %;initialkurzwort;suche;looking for;filter1;e;x
222;NOCH;5.45 %;;;;unwichtig;;x
215;HC;5.28 %;klammerwort;heroisch;heroic;filter1;e;x
215;DD;5.28 %;initialkurzwort;schadensverursacher;damagedealer;filter1;e;x
212;EXP;5.21 %;initialkurzwort;erfahrung;experience;filter1;e;x
207;TANK;5.09 %;entlehnung;schutzklasse;schutzklasse;klasse;e;x
200;ODER;4.91 %;;;;unwichtig;;x
188;DIE;4.62 %;;;;unwichtig;;x
182;CAP;4.47 %;kopfwort;;capture;;e;x
178;SUCHEN;4.37 %;;suche;looking for;filter1;;x
177;NUR;4.35 %;;;;unwichtig;;x
157;W/ME;3.86 %;;;;ersetzt;;x
156;GS;3.83 %;initialkurzwort;;gearscore;;e;x
154;MAGE;3.78 %;entlehnung;magier;magier;klasse;e;x
149;ILVL;3.66 %;initialkurzwort;itemlevel;itemlevel;;e;x
149;MOGU;3.66 %;kopfwort;mogu'shangewölbe;mogu'shangewölbe;instanz;;x
147;GEAR;3.61 %;entlehnung;;ausrüstung;;e;x
138;HUNTER;3.39 %;entlehnung;jäger;jäger;klasse;e;x
137;PLS;3.37 %;mischkurzwort;bitte;please;filter1;e;x
132;WARRI;3.24 %;kopfwort;krieger;krieger;klasse;e;x
131;GILDE;3.22 %;mmo-wortschatz;;;unwichtig;;x
125;10ER;3.07 %;numeral;;;;;x
125;DDS;3.07 %;initialkurzwort;schadensverursacher;damagedealer;filter1;e;x
121;GRP;2.97 %;mischkurzwort;gruppe;gruppe;filter1;e;x
118;SHA;2.9 %;;;;unwichtig;;x
117;DES;2.87 %;;;;unwichtig;;x
108;ARENA;2.65 %;mmo-wortschatz;;pvp-umgebung;unwichtig;;x
105;KAUFE;2.58 %;;kaufe;;filter1;;x
103;LOW;2.53 %;entlehnung;;niedrig/minderwertig;;e;x
103;MG;2.53 %;initialkurzwort;mogu'shangewölbe;mogu'shangewölbe;instanz;;x
102;T1;2.51 %;numeral;;Tier1 PVP-Gear;;;x
102;T2;2.51 %;numeral;;Tier2 PVP-Gear;;;x
101;VON;2.48 %;;;;unwichtig;;x
99;HDA;2.43 %;initialkurzwort;;herz der angst;instanz;;x
98;CLEAR;2.41 %;entlehnung;;komplett;;e;x
96;LEUTE;2.36 %;;;;unwichtig;;x
95;AUF;2.33 %;;;;unwichtig;;x
90;SHADOW;2.21 %;entlehnung;;schatten, auf priesterskillung bezogen;;e;x
89;GRUPPE;2.19 %;;gruppe;;filter1;;x
85;MATE;2.09 %;entlehnung;teamkollege;teamkollege;filter1;e;x
85;DK;2.09 %;initialkurzwort;;todesritter;klasse;e;x
83;AUCH;2.04 %;;;;unwichtig;;x
83;CLEARRUN;2.04 %;entlehnung;;alle monster in einer instanz an einem abend töten;;e;x
83;BEI;2.04 %;;;;unwichtig;;x
83;GESUCHT;2.04 %;;suche;looking for;filter1;;x
82;VORHANDEN;2.01 %;;;;unwichtig;;x
80;ALLES;1.97 %;;;;unwichtig;;x
78;GOLD;1.92 %;mmo-wortschatz;;;unwichtig;;x
77;NHC;1.89 %;klammerwort;nicht-heroisch;non-heroic;filter1;e;x
77;HEILER;1.89 %;;heilung;;filter1;;x
75;FC;1.84 %;initialkurzwort;;flag carrier;;e;x
74;PVP;1.82 %;initialkurzwort;;player versus player;;e;x
73;AN;1.79 %;;;;unwichtig;;x
73;PALA;1.79 %;kopfwort;paladin;paladin;klasse;;x
72;IM;1.77 %;;;;unwichtig;;x
71;EINEN;1.74 %;;;;unwichtig;;x
70;DAS;1.72 %;;;;unwichtig;;x
69;IN;1.7 %;;;;unwichtig;;x
66;RAID;1.62 %;entlehnung;;schlachtzug;;e;x
66;INFOS;1.62 %;;;;unwichtig;;x
66;TANKS;1.62 %;entlehnung;schutzklasse;schutzklasse;klasse;e;x
65;KANN;1.6 %;;;;unwichtig;;x
64;RUN;1.57 %;entlehnung;run;durch eine instanz laufen;filter1;e;x
62;EIN;1.52 %;;;;unwichtig;;x
61;MIN;1.5 %;kopfwort;mindestens;;filter1;;x
59;LVL;1.45 %;mischkurzwort;;level;;e;x
58;IST;1.43 %;;;;unwichtig;;x
58;VERKAUFE;1.43 %;;verkaufe;;filter1;;x
58;TG;1.43 %;initialkurzwort;trinkgeld;trinkgeld;filter1;;x
56;SIND;1.38 %;;;;unwichtig;;x
56;3S;1.38 %;numeral;;;;;x
54;HEALER;1.33 %;entlehnung;heilung;;filter1;e;x
54;ZU;1.33 %;;;;unwichtig;;x
53;STAMM;1.3 %;kopfwort;stammgruppe;stammgruppe;filter1;;x
52;MIR;1.28 %;;;;unwichtig;;x
52;FFA;1.28 %;initialkurzwort;;free for all;;e;x
51;WIR;1.25 %;;;;unwichtig;;x
51;AH;1.25 %;initialkurzwort;;auktionshaus;;;x
51;DANN;1.25 %;;;;unwichtig;;x
51;MONK;1.25 %;entlehnung;mönch;mönch;klasse;e;x
50;EULE;1.23 %;;druide-gleichgewicht;druide mit gleichgewichtsfertigkeitsbaum;klasse;;x
49;KEINE;1.2 %;;;;unwichtig;;x
48;INTERESSE;1.18 %;;;;unwichtig;;x
48;BIETE;1.18 %;;verkaufe;;filter1;;x
48;BIN;1.18 %;;;;unwichtig;;x
47;ONLY;1.15 %;entlehnung;;nur;;e;x
47;ROGUE;1.15 %;entlehnung;schurke;schurke;klasse;e;x
47;TC;1.15 %;initialkurzwort;;target call;;e;x
45;BITTE;1.11 %;;bitte;;filter1;;x
45;JEMAND;1.11 %;;;;unwichtig;;x
45;TOP;1.11 %;entlehnung;;super;;e;x
43;ZAHLE;1.06 %;;;;unwichtig;;x
43;BOSS;1.06 %;entlehnung;;Bossmonster;;e;x
42;ZUM;1.03 %;;;;unwichtig;;x
42;TERRASSE;1.03 %;;;;unwichtig;;x
42;EGAL;1.03 %;;;;unwichtig;;x
41;NEUE;1.01 %;;;;unwichtig;;x
41;FDK;1.01 %;initialkurzwort;todesritter-frost;todesritter mit frostfertigkeitsbaum;klasse;e;x
40;NON;0.98 %;entlehnung;;nicht;;e;x
40;DD´S;0.98 %;;schadensverursacher;damagedealer;filter1;e;x
40;SCHURKE;0.98 %;;schurke;schurke;klasse;;x
39;TOTENSCHäDEL;0.96 %;;;;unwichtig;;x
39;DEN;0.96 %;;;;unwichtig;;x
39;CHAR;0.96 %;kopfwort;;charakter;;e;x
39;DUDU;0.96 %;mischkurzwort;druide;druide;klasse;e;x
38;KEIN;0.93 %;;;;unwichtig;;x
38;02.Feb;0.93 %;;;;unwichtig;;x
38;WME;0.93 %;;;;ersetzt;;x
38;2V2;0.93 %;numeral;;;;;x
37;GEGEN;0.91 %;;;;unwichtig;;x
36;LOCKED;0.88 %;entlehnung;gesperrt;gesperrt;;e;x
36;BLUTGEIST;0.88 %;;;;unwichtig;;x
36;SPIELER;0.88 %;;;avatar;;;x
36;FÜR;0.88 %;;;;unwichtig;;x
35;HEALS;0.86 %;entlehnung;heilung;;filter1;e;x
35;ICH;0.86 %;;;;unwichtig;;x
35;SEASON;0.86 %;mmo-wortschatz;;arena-saison;;e;x
35;D;0.86 %;;;;unwichtig;;x
35;MEHR;0.86 %;;;;unwichtig;;x
34;25ER;0.84 %;numeral;;;;;x
34;SPEC;0.84 %;entlehnung;spezialisierung;specialization;filter1;e;x
34;WER;0.84 %;;;;unwichtig;;x
34;JETZT;0.84 %;;;;unwichtig;;x
34;TERASSE;0.84 %;;;;unwichtig;;x
34;HEXER;0.84 %;kopfwort;hexer;hexer;klasse;;x
33;FULL;0.81 %;entlehnung;;komplett;;e;x
33;2S;0.81 %;numeral;;;;;x
32;FROST;0.79 %;;;;unwichtig;;x
32;GERNE;0.79 %;;;;unwichtig;;x
32;MODE;0.79 %;entlehnung;;challenge mode;filter2;e;x
32;GO;0.79 %;entlehnung;;los;;e;x
32;ANSCHLUSS;0.79 %;;;;unwichtig;;x
31;LEDERER;0.76 %;mischkurzwort;;lederverarbeitung;;;x
31;HAT;0.76 %;;;;unwichtig;;x
31;RANGE;0.76 %;entlehnung;distanzkämpfer;distanzkämpfer;filter1;e;x
31;HPALA;0.76 %;mischkurzwort;paladin-heilig;paladin mit heiligfertigkeitsbaum;klasse;;x
31;3V3;0.76 %;numeral;;;;;x
30;MATS;0.74 %;kopfwort;;materialien;;;x
30;CHECK;0.74 %;entlehnung;;prüfung;;e;x
30;WO;0.74 %;;;;unwichtig;;x
30;NACHTFEUERROBE;0.74 %;;;;unwichtig;;x
30;FOR;0.74 %;;;;unwichtig;;x
29;EINE;0.71 %;;;;unwichtig;;x
29;UHR;0.71 %;;;;unwichtig;;x
29;01.Feb;0.71 %;;;;unwichtig;;x
29;NE;0.71 %;;;;unwichtig;;x
29;ELITE;0.71 %;entlehnung;;besonderer boss;;;x
28;TDEF;0.69 %;initialkurzwort;;terasse des endlosen frühlings;;;x
28;ID;0.69 %;initialkurzwort;;kennung, eindeutige instanzzuordnung;;e;x
28;CHALLENGE;0.69 %;entlehnung;;challenge mode;filter2;e;x
28;DIESE;0.69 %;;;;unwichtig;;x
28;ES;0.69 %;;;;unwichtig;;x
28;MIND;0.69 %;kopfwort;mindestens;;filter1;;x
28;X-REALM;0.69 %;homophone abkürzung;serverübergreifend;cross-realm;filter1;e;x
28;PRO;0.69 %;kopfwort;;besonders;;e;x
28;WTB;0.69 %;initialkurzwort;kaufe;want to buy;filter1;e;x
27;AND;0.66 %;;;;unwichtig;;x
27;GEBOT;0.66 %;;;;unwichtig;;x
27;HABEN;0.66 %;;;;unwichtig;;x
27;GUT;0.66 %;;;;unwichtig;;x
27;NEN;0.66 %;;;;unwichtig;;x
27;ELEGON;0.66 %;;;;unwichtig;;x
27;RELIKT;0.66 %;;;;unwichtig;;x
26;NH;0.64 %;initialkurzwort;;non-heroic;;e;x
26;AM;0.64 %;;;;unwichtig;;x
25;BASTION;0.61 %;;bastion;bastion des zwielichts;instanz;;x
25;BM;0.61 %;initialkurzwort;;jäger mit beastmasterfertigkeitsbaum;klasse;e;x
25;GUTE;0.61 %;;;;unwichtig;;x
25;ZWIELICHTS;0.61 %;;;;unwichtig;;x
25;DA;0.61 %;;;;unwichtig;;x
25;VIA;0.61 %;;;;unwichtig;;x
25;ULDUAR;0.61 %;;;;unwichtig;;x
25;ICC;0.61 %;initialkurzwort;;ice crown citadel;instanz;e;x
25;HOLY;0.61 %;entlehnung;;klasse mit heilfertigkeiten;klasse;e;x
25;RESTO;0.61 %;kopfwort;klasse-wiederherstellung;klasse mit wiederherstellungfertigkeitsbaum;klasse;e;x
24;WL;0.59 %;initialkurzwort;hexer;hexer;klasse;e;x
24;TEAM;0.59 %;;;;unwichtig;;x
24;SHA-KRISTALL;0.59 %;;;;unwichtig;;x
24;HERZ;0.59 %;;;;unwichtig;;x
24;OF;0.59 %;;;;unwichtig;;x
24;PUSH;0.59 %;entlehnung;vorantreiben;vorantreiben;filter1;e;x
24;NACH;0.59 %;;;;unwichtig;;x
24;ELE;0.59 %;kopfwort;schamane-elementar;schamane mit elementarfertigkeitsbaum;klasse;;x
24;REST;0.59 %;;;;unwichtig;;x
23;OFFEN;0.57 %;;;;unwichtig;;x
23;MICH;0.57 %;;;;unwichtig;;x
23;VZ;0.57 %;mischkurzwort;verzauberer;verzauberer;filter1;;x
23;FERAL;0.57 %;entlehnung;;druide mit wildheitsfertigkeitsbaum;klasse;e;x
22;XREALM;0.54 %;homophone abkürzung;serverübergreifend;cross-realm;filter1;e;x
22;FRAGEN;0.54 %;;;;unwichtig;;x
22;RELIQUIE;0.54 %;;;;unwichtig;;x
22;ENDLOSEN;0.54 %;;;;unwichtig;;x
22;AUS;0.54 %;;;;unwichtig;;x
22;WAFFE;0.54 %;;;;unwichtig;;x
22;DISZI;0.54 %;kopfwort;priester-disziplin;priester mit disziplinfertigkeitsbaum;klasse;;x
22;CHI-JI;0.54 %;;;;unwichtig;;x
22;HIER;0.54 %;;;;unwichtig;;x
22;DU;0.54 %;;;;unwichtig;;x
22;KRIEGER;0.54 %;;krieger;krieger;klasse;;x
21;WSP;0.52 %;mischkurzwort;flüstern;;filter1;e;x
21;WAS;0.52 %;;;;unwichtig;;x
21;ALLE;0.52 %;;;;unwichtig;;x
21;FRüHLINGS;0.52 %;;;;unwichtig;;x
21;ALS;0.52 %;;;;unwichtig;;x
20;2ON2;0.49 %;numeral;;;;;x
